msg,before,after
b'',1582879096.063772,1582879098.0778491
b'1\r\n',1582879098.0780728,1582879099.7355876
b'0\r\n',1582879099.7355876,1582879100.7222006
b'1\r\n',1582879100.7222006,1582879101.7565413
b'0\r\n',1582879101.7565413,1582879102.772036
b'1\r\n',1582879102.772036,1582879103.7570457
b'0\r\n',1582879103.7570457,1582879104.7843375
b'1\r\n',1582879104.7843375,1582879105.7701437
b'0\r\n',1582879105.7701437,1582879106.78785
b'1\r\n',1582879106.78785,1582879107.8201942
b'0\r\n',1582879107.8201942,1582879108.8102288
b'1\r\n',1582879108.8102288,1582879109.824245
b'0\r\n',1582879109.824245,1582879110.814646
b'1\r\n',1582879110.814646,1582879111.8462696
b'0\r\n',1582879111.8462696,1582879112.8107069
b'1\r\n',1582879112.8107069,1582879113.8385277
b'0\r\n',1582879113.8385277,1582879114.864052
b'1\r\n',1582879114.864052,1582879115.8578432
b'0\r\n',1582879115.8578432,1582879116.883945
b'1\r\n',1582879116.883945,1582879117.8528614
b'0\r\n',1582879117.8528614,1582879118.881234
b'1\r\n',1582879118.881234,1582879119.8617425
b'0\r\n',1582879119.8617425,1582879120.901036
b'1\r\n',1582879120.901036,1582879121.9228556
b'0\r\n',1582879121.9228556,1582879122.9062011
b'1\r\n',1582879122.9062011,1582879123.9260597
b'0\r\n',1582879123.9260597,1582879124.9133816
b'1\r\n',1582879124.9133816,1582879125.940096
b'0\r\n',1582879125.940096,1582879126.91822
b'1\r\n',1582879126.91822,1582879127.9519124
b'0\r\n',1582879127.9519124,1582879128.967633
b'1\r\n',1582879128.967633,1582879129.9560692
b'0\r\n',1582879129.9560692,1582879130.975022
b'1\r\n',1582879130.975022,1582879131.9563107
b'0\r\n',1582879131.9563107,1582879132.9817727
b'1\r\n',1582879132.9817727,1582879134.0162203
b'0\r\n',1582879134.0162203,1582879134.9953427
b'1\r\n',1582879134.9953427,1582879136.0234976
b'0\r\n',1582879136.0234976,1582879136.998303
b'1\r\n',1582879136.998303,1582879138.0323508
b'0\r\n',1582879138.0323508,1582879139.0171752
b'1\r\n',1582879139.0171752,1582879140.036782
b'0\r\n',1582879140.036782,1582879141.065574
b'1\r\n',1582879141.065574,1582879142.0414226
b'0\r\n',1582879142.0414226,1582879143.0736003
b'1\r\n',1582879143.0736003,1582879144.0573153
b'0\r\n',1582879144.0573153,1582879145.078227
b'1\r\n',1582879145.078227,1582879146.064136
b'0\r\n',1582879146.064136,1582879147.0800717
b'1\r\n',1582879147.0800717,1582879148.1221805
b'0\r\n',1582879148.1221805,1582879149.0954585
b'1\r\n',1582879149.0954585,1582879150.1266556
b'0\r\n',1582879150.1266556,1582879151.0968928
b'1\r\n',1582879151.0968928,1582879152.139655
b'0\r\n',1582879152.139655,1582879153.106224
b'1\r\n',1582879153.106224,1582879154.1310048
b'0\r\n',1582879154.1310048,1582879155.1111696
b'1\r\n',1582879155.1111696,1582879156.1479564
b'0\r\n',1582879156.1479564,1582879157.1652787
b'1\r\n',1582879157.1652787,1582879158.1486304
b'0\r\n',1582879158.1486304,1582879159.1650486
b'1\r\n',1582879159.1650486,1582879160.1649878
b'0\r\n',1582879160.1649878,1582879161.1809995
b'1\r\n',1582879161.1809995,1582879162.1637459
b'0\r\n',1582879162.1637459,1582879163.1980042
b'1\r\n',1582879163.1980042,1582879164.1795316
b'0\r\n',1582879164.1795316,1582879165.2143755
b'1\r\n',1582879165.2143755,1582879166.195942
b'0\r\n',1582879166.195942,1582879167.214284
b'1\r\n',1582879167.214284,1582879168.2464106
b'0\r\n',1582879168.2464106,1582879169.2282484
b'1\r\n',1582879169.2282484,1582879170.245647
b'0\r\n',1582879170.245647,1582879171.2775028
b'1\r\n',1582879171.2775028,1582879172.3072908
b'0\r\n',1582879172.3072908,1582879173.2767203
b'1\r\n',1582879173.2767203,1582879174.3101397
b'0\r\n',1582879174.3101397,1582879175.330517
b'1\r\n',1582879175.330517,1582879176.3100421
b'0\r\n',1582879176.3100421,1582879177.3436425
b'1\r\n',1582879177.3436425,1582879178.327304
b'0\r\n',1582879178.327304,1582879179.3449483
b'1\r\n',1582879179.3449483,1582879180.3785188
b'0\r\n',1582879180.3785188,1582879181.3548813
b'1\r\n',1582879181.3548813,1582879182.391426
b'0\r\n',1582879182.391426,1582879183.4181478
b'1\r\n',1582879183.4181478,1582879184.3986676
b'0\r\n',1582879184.3986676,1582879185.418627
b'1\r\n',1582879185.418627,1582879186.4075897
b'0\r\n',1582879186.4075897,1582879187.4247081
b'1\r\n',1582879187.4247081,1582879188.4085283
b'0\r\n',1582879188.4085283,1582879189.4275596
b'1\r\n',1582879189.4275596,1582879190.467819
b'0\r\n',1582879190.467819,1582879191.44068
b'1\r\n',1582879191.44068,1582879192.4763114
b'0\r\n',1582879192.4763114,1582879193.4599378
b'1\r\n',1582879193.4599378,1582879194.4795668
b'0\r\n',1582879194.4795668,1582879195.4679337
b'1\r\n',1582879195.4679337,1582879196.489979
b'0\r\n',1582879196.489979,1582879197.4750602
b'1\r\n',1582879197.4750602,1582879198.490024
b'0\r\n',1582879198.490024,1582879199.4781926
b'1\r\n',1582879199.4781926,1582879200.50506
b'0\r\n',1582879200.50506,1582879201.4846222
b'1\r\n',1582879201.4846222,1582879202.517694
b'0\r\n',1582879202.517694,1582879203.5456922
b'1\r\n',1582879203.5456922,1582879204.5180438
b'0\r\n',1582879204.5180438,1582879205.5459995
b'1\r\n',1582879205.5459995,1582879206.5198922
b'0\r\n',1582879206.5198922,1582879207.5568306
b'1\r\n',1582879207.5568306,1582879208.5424247
b'0\r\n',1582879208.5424247,1582879209.5750756
b'1\r\n',1582879209.5750756,1582879210.5970902
b'0\r\n',1582879210.5970902,1582879211.5790381
b'1\r\n',1582879211.5790381,1582879212.6007416
b'0\r\n',1582879212.6007416,1582879213.580114
b'1\r\n',1582879213.580114,1582879214.6087852
b'0\r\n',1582879214.6087852,1582879215.6305873
b'1\r\n',1582879215.6305873,1582879216.6147082
b'0\r\n',1582879216.6147082,1582879217.6382127
b'1\r\n',1582879217.6382127,1582879218.6233993
b'0\r\n',1582879218.6233993,1582879219.656373
b'1\r\n',1582879219.656373,1582879220.6884255
b'0\r\n',1582879220.6884255,1582879221.6659582
b'1\r\n',1582879221.6659582,1582879222.6845858
b'0\r\n',1582879222.6845858,1582879223.7253635
b'1\r\n',1582879223.7253635,1582879224.687421
b'0\r\n',1582879224.687421,1582879225.7266665
b'1\r\n',1582879225.7266665,1582879226.7099702
b'0\r\n',1582879226.7099702,1582879227.7345736
b'1\r\n',1582879227.7345736,1582879228.7671971
b'0\r\n',1582879228.7671971,1582879229.7398376
b'1\r\n',1582879229.7398376,1582879230.7722461
b'0\r\n',1582879230.7722461,1582879231.806934
b'1\r\n',1582879231.806934,1582879232.7802947
b'0\r\n',1582879232.7802947,1582879233.8031003
b'1\r\n',1582879233.8031003,1582879234.7938166
b'0\r\n',1582879234.7938166,1582879235.8240047
b'1\r\n',1582879235.8240047,1582879236.8361857
b'0\r\n',1582879236.8361857,1582879237.814116
b'1\r\n',1582879237.814116,1582879238.8537817
b'0\r\n',1582879238.8537817,1582879239.836358
b'1\r\n',1582879239.836358,1582879240.8539462
b'0\r\n',1582879240.8539462,1582879241.8435686
b'1\r\n',1582879241.8435686,1582879242.864261
b'0\r\n',1582879242.864261,1582879243.9024358
b'1\r\n',1582879243.9024358,1582879244.8686194
b'0\r\n',1582879244.8686194,1582879245.910304
b'1\r\n',1582879245.910304,1582879246.8902469
b'0\r\n',1582879246.8902469,1582879247.9149122
b'1\r\n',1582879247.9149122,1582879248.9458723
b'0\r\n',1582879248.9458723,1582879249.9196665
b'1\r\n',1582879249.9196665,1582879250.9516754
b'0\r\n',1582879250.9516754,1582879251.9306962
b'1\r\n',1582879251.9306962,1582879252.9553757
b'0\r\n',1582879252.9553757,1582879253.9843347
b'1\r\n',1582879253.9843347,1582879254.96268
b'0\r\n',1582879254.96268,1582879255.9867659
b'1\r\n',1582879255.9867659,1582879256.9647813
b'0\r\n',1582879256.9647813,1582879258.002316
b'1\r\n',1582879258.002316,1582879259.0149934
b'0\r\n',1582879259.0149934,1582879260.0040755
b'1\r\n',1582879260.0040755,1582879261.0363085
b'0\r\n',1582879261.0363085,1582879262.0178537
b'1\r\n',1582879262.0178537,1582879263.04599
b'0\r\n',1582879263.04599,1582879264.0659757
b'1\r\n',1582879264.0659757,1582879265.049671
b'0\r\n',1582879265.049671,1582879266.0708933
b'1\r\n',1582879266.0708933,1582879267.0585692
b'0\r\n',1582879267.0585692,1582879268.0897322
b'1\r\n',1582879268.0897322,1582879269.062393
b'0\r\n',1582879269.062393,1582879270.0917993
b'1\r\n',1582879270.0917993,1582879271.0839632
b'0\r\n',1582879271.0839632,1582879272.1006436
b'1\r\n',1582879272.1006436,1582879273.0870051
b'0\r\n',1582879273.0870051,1582879274.1143973
b'1\r\n',1582879274.1143973,1582879275.0845475
b'0\r\n',1582879275.0845475,1582879276.1197214
b'1\r\n',1582879276.1197214,1582879277.091843
b'0\r\n',1582879277.091843,1582879278.1233487
b'1\r\n',1582879278.1233487,1582879279.098324
b'0\r\n',1582879279.098324,1582879280.1426675
b'1\r\n',1582879280.1426675,1582879281.1632135
b'0\r\n',1582879281.1632135,1582879282.1434538
b'1\r\n',1582879282.1434538,1582879283.1648722
b'0\r\n',1582879283.1648722,1582879284.1426547
b'1\r\n',1582879284.1426547,1582879285.179734
b'0\r\n',1582879285.179734,1582879286.2113628
b'1\r\n',1582879286.2113628,1582879287.1727371
b'0\r\n',1582879287.188194,1582879288.2123346
b'1\r\n',1582879288.2123346,1582879289.240886
b'0\r\n',1582879289.240886,1582879290.2131608
b'1\r\n',1582879290.2131608,1582879291.248058
b'0\r\n',1582879291.248058,1582879292.2305477
b'1\r\n',1582879292.2305477,1582879293.259715
b'0\r\n',1582879293.259715,1582879294.2307136
b'1\r\n',1582879294.2307136,1582879295.2703907
b'0\r\n',1582879295.2703907,1582879296.300359
b'1\r\n',1582879296.300359,1582879297.276773
b'0\r\n',1582879297.276773,1582879298.3070223
b'1\r\n',1582879298.3070223,1582879299.3361557
b'0\r\n',1582879299.3361557,1582879300.3107572
b'1\r\n',1582879300.3107572,1582879301.3264883
b'0\r\n',1582879301.3264883,1582879302.3132644
b'',1582879302.3132644,1582879304.3281708
b'1\r\n',1582879304.3281708,1582879305.346846
b'0\r\n',1582879305.346846,1582879306.3878756
b'1\r\n',1582879306.3878756,1582879307.4130187
b'0\r\n',1582879307.4130187,1582879308.3946145
b'1\r\n',1582879308.3946145,1582879309.4265392
b'0\r\n',1582879309.4265392,1582879310.3944275
b'1\r\n',1582879310.3944275,1582879311.4295611
b'0\r\n',1582879311.4295611,1582879312.4525807
b'1\r\n',1582879312.4525807,1582879313.4386892
b'0\r\n',1582879313.4386892,1582879314.4594839
b'1\r\n',1582879314.4594839,1582879315.4984767
b'0\r\n',1582879315.4984767,1582879316.5131476
b'1\r\n',1582879316.5131476,1582879317.494478
b'0\r\n',1582879317.494478,1582879318.524052
b'1\r\n',1582879318.524052,1582879319.557261
b'0\r\n',1582879319.557261,1582879320.5405977
b'1\r\n',1582879320.5405977,1582879321.5585387
b'0\r\n',1582879321.5585387,1582879322.5882845
b'1\r\n',1582879322.5882845,1582879323.5603528
b'0\r\n',1582879323.5603528,1582879324.5942714
b'1\r\n',1582879324.5942714,1582879325.5860012
b'0\r\n',1582879325.5860012,1582879326.6028306
b'1\r\n',1582879326.6028306,1582879327.6368265
b'0\r\n',1582879327.6368265,1582879328.6205156
b'1\r\n',1582879328.6205156,1582879329.651166
b'0\r\n',1582879329.651166,1582879330.6215825
b'1\r\n',1582879330.6215825,1582879331.6521657
b'0\r\n',1582879331.6521657,1582879332.6234343
b'1\r\n',1582879332.6234343,1582879333.6568186
b'0\r\n',1582879333.6568186,1582879334.690647
b'1\r\n',1582879334.690647,1582879335.6705525
b'0\r\n',1582879335.6705525,1582879336.6860135
b'1\r\n',1582879336.6860135,1582879337.6623778
b'0\r\n',1582879337.6623778,1582879338.7044048
b'1\r\n',1582879338.7044048,1582879339.6833084
b'0\r\n',1582879339.6833084,1582879340.7081697
b'1\r\n',1582879340.7081697,1582879341.689782
b'0\r\n',1582879341.689782,1582879342.7226467
b'',1582879342.7226467,1582879344.738806
